Food Description,type,Serving,Date,Meal,Sugar,Sodium,Fat,Protein,Calories,Carbohydrates,Water Intake (fl oz)
Tropicana - Homestyle Orange Juice,juice,16 fl oz,5/19/2019,Breakfast,44,0,0,4,220,52,136
Nuts.Com - Organic Trail Mix (Nuts.Com),fats&seasoning,28 g,5/19/2019,Lunch,13,20,4,1,120,22,136
Fry's - Chicken Stir Fry,meats,8 oz,5/19/2019,Dinner,6,130,3,50,300,12,136
Hershey's Kit Kat Dark Chocolate - Dark Chocolate King Size,dessert,3.99 fingers (32g),5/19/2019,Snacks,19,7,12,3,200,27,136
Hershey's - Milk Chocolate bar with Almonds (from pkg-Jul 2018),dessert,41 gram,5/19/2019,Snacks,19,25,14,4,210,22,136
Thomas - English Muffin With Peanut Butter & Banana,dessert,2 english muffin,5/20/2019,Breakfast,46,700,34,26,860,124,51
Simply - Mixed Berry Juice,juice,1 cup,5/20/2019,Breakfast,25,15,0,0,100,26,51
Fry's - Chicken Stir Fry,meats,8 oz,5/20/2019,Breakfast,6,130,3,50,300,12,51
Old Chicago - Chicken Pesto Cheddar Mac,meats,1 serving,5/20/2019,Lunch,6,2245,80,60,1165,49,51
Coliflower - Raw 300 g,vegetables,300 g,5/20/2019,Dinner,7,90,0,6,75,16,51
Ny Strip - Steak,meats,3 oz,5/20/2019,Dinner,0,60,17,23,250,0,51
Homemade - Rhubarb and Strawberry Pie,dessert,1/8 slice,5/20/2019,Snacks,33,259,19,5,437,64,51
Ice creams - Vanilla,dessert,0.5 cup,5/20/2019,Snacks,15,58,8,3,145,17,51
Thomas - English Muffin With Peanut Butter & Banana,dessert,1 english muffin,5/21/2019,Breakfast,23,350,17,13,430,62,68
Kellogg's - Honey Bunches of Oats,grains,1 cup,5/21/2019,Breakfast,12,280,3,4,240,50,68
Milk,juice,"2% fat, 2 cup",5/21/2019,Breakfast,25,231,10,16,246,24,68
Homemade - Brisket,meats,4 oz,5/21/2019,Dinner,0,55,16,32,292,0,68
Eurest - Pulled Pork,meats,4 oz portion,5/21/2019,Dinner,0,396,18,28,279,1,68
Amy's - Chili (Spicy),meats,1 cup,5/21/2019,Dinner,5,680,9,15,280,35,68
Loulou's - Chicken Brocoli Alfredo,meats,1 cup,5/21/2019,Dinner,3,485,6,25,263,26,68
Budweiser - Bud Light 4.2,juice,12 oz,5/21/2019,Dinner,0,0,0,1,110,7,68
Boston Market - Cornbread,grains,1 serving(s),5/21/2019,Dinner,12,330,3,2,160,30,68
Nilla wafers - Nilla Wafers,dessert,16 wafers,5/21/2019,Snacks,22,230,12,2,280,42,68
Homemade - Rhubarb and Strawberry Pie,dessert,1/8 slice,5/21/2019,Snacks,33,259,19,5,437,64,68
Ice creams - Vanilla,dessert,0.5 cup,5/21/2019,Snacks,15,58,8,3,145,17,68
Kellogg's - Honey Bunches of Oats,grains,1 cup,5/22/2019,Breakfast,12,280,3,4,240,50,0
Supermarket - Banana,fruits,1 banana,5/22/2019,Breakfast,0,1,0,0,105,27,0
Wawa - Chicken Burrito Bowl With Rice and Beans,grains,1 Bowl,5/22/2019,Lunch,3,1350,8,32,390,50,0
Theo Organic Fair Trade - Peanut Butter Cups - Dark Chocolate,dessert,2 peanut butter cups (38g),5/22/2019,Snacks,13,55,14,4,210,18,0
Just Born - Mike and Ike Original Fruits Candy,dessert,64 pieces,5/22/2019,Snacks,72,40,0,0,440,108,0
Supermarket - Banana,fruits,1 banana,5/22/2019,Snacks,0,1,0,0,105,27,0
Kellogg's - Honey Bunches of Oats,grains,1 cup,5/23/2019,Breakfast,12,280,3,4,240,50,68
Whole Milk,juice,"3.25% fat, 1 cup",5/23/2019,Breakfast,12,105,8,8,149,12,68
Supermarket - Banana,fruits,1 banana,5/23/2019,Breakfast,0,1,0,0,105,27,68
Krispy Krunchy - Krispy Krunchy Chicken Strips,meats,8 Krispy Krunchy Chicken Strips,5/23/2019,Lunch,18,4820,90,132,1800,114,68
Krispy Krunchy - Mac-n-cheese,fats&seasoning,"Small, 8 oz",5/23/2019,Lunch,6,1090,12,12,280,32,68
Reese's Sticks - Reese Sticks Crispy Wafers King Size,dessert,1 package,5/23/2019,Lunch,36,270,26,8,460,48,68
Outtakes - Cajun Chicken Salad,meats,1 serving(s),5/23/2019,Dinner,5,777,27,36,458,18,68
Farm Rich - Jalepeno Poppers,dessert,6 pieces,5/23/2019,Dinner,3,990,27,6,420,36,68
Budweiser - Bud Light 4.2,juice,12 oz,5/23/2019,Dinner,0,0,0,1,110,7,68
Hershey's Kit Kat Dark Chocolate - Dark Chocolate King Size,dessert,7.98 fingers (32g),5/23/2019,Snacks,37,13,24,5,399,53,68
Kind - Healthy Grains Bar - Dark Chocolate Chunk,dessert,1 bar (35 g/1.2 oz),5/23/2019,Snacks,8,65,5,2,150,23,68
Zippy's - Chili Omelette,grains,1 omelette,5/24/2019,Breakfast,4,720,19,29,660,91,68
Toast - Toast,grains,2 pc,5/24/2019,Breakfast,6,270,2,8,200,40,68
Shredded hash browns - Shredded Hash Browns,dessert,2 cup,5/24/2019,Breakfast,0,0,0,2,140,32,68
Sodexo Campus - Margharita Pizza,grains,1 serving,5/24/2019,Lunch,3,640,8,15,260,33,68
Qdoba - Burrito Chicken Bowl,meats,269 g,5/24/2019,Dinner,0,990,22,26,450,38,68
Qdoba - Brownie,dessert,1 brownie,5/24/2019,Dinner,35,210,16,4,360,52,68
Theo - Peanut Butter Cup - Milk Chocolate,juice,2 Peanut butter cups,5/24/2019,Snacks,13,70,15,5,220,17,68
Immune - Emergen -C Immune,juice,1 Packet,5/24/2019,Snacks,4,60,0,0,20,5,68
Supermarket - Banana,fruits,1 banana,5/24/2019,Snacks,0,1,0,0,105,27,68
Kind Bar Healthy Grain - Dark Chocolate Chunk - Chewy With A Crunch,dessert,1 Bar (35g),5/24/2019,Snacks,8,65,5,2,150,23,68
Supermarket - Banana,fruits,1 banana,5/24/2019,Snacks,0,1,0,0,105,27,68
Adventure Athletics - Everest Bar - Peanut Butter Choclate Chip,dessert,1 bar,5/24/2019,Snacks,0,0,16,8,280,30,68
Subway - Chocolate Chip Cookie (Website),dessert,135 g,5/24/2019,Snacks,54,360,30,6,630,87,68
Fruit - Mixed Fruit,fruits,1 cup,5/25/2019,Breakfast,9,25,0,0,40,10,68
Aladdin - Scrambled Eggs with Ham,meats,4 oz,5/25/2019,Breakfast,3,303,12,14,180,2,68
Blueberry muffins - Blueberry Muffins,dessert,1 muffin,5/25/2019,Breakfast,8,90,5,1,100,14,68
Chobani Nonfat Greek Yogurt - Peach,dessert,5.3 oz,5/25/2019,Breakfast,15,50,0,12,120,17,68
Supermarket - Banana,fruits,1 banana,5/25/2019,Breakfast,0,1,0,0,105,27,68
Wholesome Farms - Fat Free Milk - Vitamins A & D - Ultra-Pasteurized,juice,1 Cup (236 mL),5/25/2019,Breakfast,12,135,0,9,90,13,68
Thomas - English Muffin With Peanut Butter & Banana,dessert,1 english muffin,5/25/2019,Breakfast,23,350,17,13,430,62,68
All Natural OATS - Oatmeal,grains,0.5 cup,5/25/2019,Breakfast,0,0,3,5,150,27,68
Link Sausage - Sausage,meats,3 link (28g),5/25/2019,Breakfast,0,450,30,12,330,3,68
Walmart - Banana Nut Muffin,dessert,1 muffin,5/25/2019,Breakfast,26,290,24,5,370,44,68
gala apples - Apple,fruits,154 g,5/25/2019,Lunch,16,0,0,0,80,22,68
Trader Joes - Buffalo Burger,grains,1 patty,5/25/2019,Lunch,0,80,30,25,370,0,68
Gatorade Orange - Thrist Quencher,juice,20 fl oz,5/25/2019,Lunch,34,270,0,0,140,36,68
Ice Cream - Moose Tracks,dessert,0.5 cup,5/25/2019,Lunch,15,60,10,2,170,19,68
"Subway - 12"" Buffalo Chicken",meats,12 Inch,5/25/2019,Dinner,26,2760,21,54,840,109,68
Subway Cookies - Cookies,dessert,3 Cookie,5/25/2019,Dinner,54,390,30,6,660,90,68
Theo - Peanut Butter Cup - Milk Chocolate,juice,2 Peanut butter cups,5/25/2019,Snacks,13,70,15,5,220,17,68
Kind Bar Healthy Grain - Dark Chocolate Chunk - Chewy With A Crunch,dessert,1 Bar (35g),5/25/2019,Snacks,8,65,5,2,150,23,68
Nick's Sticks - Free-range Turkey Snack Sticks - Spicy,dessert,1.7 oz (48g),5/25/2019,Snacks,0,390,3,10,75,0,68
Pressed by Kind - Mango Apple Chia Fruit Bar,dessert,35 g,5/25/2019,Snacks,21,0,1,0,110,26,68
Supermarket - Banana,fruits,1 banana,5/26/2019,Breakfast,0,1,0,0,105,27,17
waffle waffle - Belgian Waffle,dessert,1 waffle,5/26/2019,Breakfast,14,500,9,4,200,26,17
Syrup - Syrup,dessert,2 tbsp,5/26/2019,Breakfast,0,74,0,0,21,12,17
Thomas - English Muffin With Peanut Butter & Banana,dessert,1 english muffin,5/26/2019,Breakfast,23,350,17,13,430,62,17
Kind Bar Healthy Grain - Dark Chocolate Chunk - Chewy With A Crunch,dessert,1 Bar (35g),5/26/2019,Breakfast,8,65,5,2,150,23,17
Homemade Nachos - Doritos Nachos,grains,1 cup cooked,5/26/2019,Lunch,6,1290,39,20,460,42,17
Angry Orchard - Hard Cider,juice,1 bottle (355ml/12 fl. oz.),5/26/2019,Lunch,20,15,0,0,190,25,17
Homemade - Spaghetti Squash With Meat Sauce,grains,1 Cup,5/26/2019,Dinner,6,672,12,24,341,17,17
Marketside - Salad,vegetables,3 cups,5/26/2019,Dinner,2,15,0,1,15,3,17
Theo - Salted Almond Butter Cups With Dark Chocolate,dessert,2 pieces,5/26/2019,Snacks,9,85,17,4,230,14,17
Kind Bar Healthy Grain - Dark Chocolate Chunk - Chewy With A Crunch,dessert,1 Bar (35g),5/26/2019,Snacks,8,65,5,2,150,23,17
Banana Shake - Banana,fruits,"Almond Milk, Ice Shake, 8 oz",5/26/2019,Snacks,0,0,0,0,165,0,17
Healthy Homemade - Oatmeal Pancakes,dessert,3 pancakes,5/27/2019,Breakfast,2,0,0,9,201,20,68
Pure Vermont - Maple Syrup,dessert,2 Tbsp,5/27/2019,Breakfast,24,4,0,0,104,26,68
Smith's - Sunrise Carrot Muffins,dessert,1 Muffin,5/27/2019,Breakfast,27,350,23,5,220,51,68
Santiago's - Smothered Chicken Burrito,meats,1 Portion,5/27/2019,Lunch,6,693,12,8,860,0,68
Outtakes - French Fries,fats&seasoning,0.5 cup,5/27/2019,Lunch,0,304,11,2,197,23,68
Smith's - Sunrise Carrot Muffins,dessert,1 Muffin,5/27/2019,Snacks,27,350,23,5,220,51,68
Publix - Chocolate Chip Muffin,dessert,1 muffin,5/27/2019,Snacks,18,240,14,3,250,30,68
Smith's - Sunrise Carrot Muffins,dessert,1 Muffin,5/28/2019,Breakfast,27,350,23,5,220,51,85
Lay's - Plain Potato Chips,grains,1 oz chips,5/28/2019,Breakfast,1,170,10,2,160,15,85
Breakfast burrito - Breakfast,grains,1 burrito,5/28/2019,Breakfast,2,790,16,12,300,26,85
Cinnamon Twist - Twist,dessert,2 twist,5/28/2019,Breakfast,0,0,2,0,70,9,85
Turkey Club - Sandwich,grains,1 sdwch,5/28/2019,Breakfast,0,0,21,31,510,49,85
Bundaberg - Blood Orange soda,juice,375 ml,5/28/2019,Breakfast,43,34,0,0,170,43,85
Homemade - Gulash,grains,"Pasta, 1 cup",5/28/2019,Dinner,0,60,0,0,500,80,85
Asparagus,vegetables,"7 spear, medium",5/28/2019,Dinner,2,2,0,2,22,4,85
Smith's - Sunrise Carrot Muffins,dessert,1 Muffin,5/28/2019,Snacks,27,350,23,5,220,51,85
Thomas - English Muffin With Peanut Butter & Banana,dessert,1 english muffin,5/28/2019,Snacks,23,350,17,13,430,62,85
Homemade - Acai Bowl,dessert,2 cup,5/29/2019,Breakfast,62,22,29,14,796,98,119
Homemade - Huevos Rancheros,meats,1 egg + tortilla + Tbsp salsa + slice bacon + 1/4 avacado + fat free vegetarian refried beans + tbls cheddar heese,5/29/2019,Breakfast,0,245,12,8,320,18,119
Subway - Barq's Root Beer,juice,32 fl oz,5/29/2019,Lunch,60,100,0,0,440,60,119
Aramark® - Buffalo Chicken Salad,meats,1 lg. salad,5/29/2019,Lunch,0,600,30,35,510,35,119
Homemade - Blackberry Raspberry Pie,dessert,1/8 pie (one slice),5/29/2019,Lunch,54,48,3,1,263,61,119
Barrilla - Whole Grain Penne Pasta,grains,6 oz,5/29/2019,Dinner,6,0,5,24,540,117,119
Sauce - Marinara Sauce,fats&seasoning,2 cup,5/29/2019,Dinner,0,0,4,4,140,20,119
Supermarket - Banana,fruits,1 banana,5/29/2019,Dinner,0,1,0,0,105,27,119
Chobani - Strawberry Rhubarb on the Bottom,dessert,1 container (150g),5/29/2019,Dinner,14,50,3,11,130,17,119
Nature's Path Organic - Love Crunch Granola,fats&seasoning,0.5 cup,5/29/2019,Dinner,12,110,12,4,280,40,119
Almonds Blue Diamond - Lightly Salted,fats&seasoning,1 oz/28 g ( about 28 nuts),5/29/2019,Dinner,1,40,16,6,170,5,119
homemade - Amish oatmeal pie ,dessert,1.5 slice,5/29/2019,Snacks,66,233,17,8,536,89,119
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,5/29/2019,Snacks,3,150,16,7,190,6,119
Hershey's Dipped Pretzels - Chocolate Dipped Pretzels,dessert,24 pieces,5/29/2019,Snacks,48,380,28,8,560,84,119
Thomas - English Muffin With Peanut Butter & Banana,dessert,2 english muffin,5/30/2019,Breakfast,46,700,34,26,860,124,51
Peach,fruits,1 medium,5/30/2019,Breakfast,13,0,0,1,59,14,51
Nature's Path Organic - Love Crunch Granola,fats&seasoning,0.5 cup,5/30/2019,Breakfast,12,110,12,4,280,40,51
Almonds Blue Diamond - Lightly Salted,fats&seasoning,2 oz/28 g ( about 28 nuts),5/30/2019,Breakfast,2,80,32,12,340,10,51
Power Crunch - Protein Bar - Chocolate Mint,dessert,1 cookie,5/30/2019,Lunch,5,100,13,13,205,10,51
Supermarket - Banana,fruits,1 banana,5/30/2019,Lunch,0,1,0,0,105,27,51
Homemade - Creamy Brocoli-Cheddar Soup,grains,1 cup,5/30/2019,Dinner,4,460,5,10,110,10,51
Shredded hash browns - Shredded Hash Browns,dessert,2 cup,5/30/2019,Dinner,0,0,0,2,140,32,51
Generic - 2 Scrambled Eggs With Cheese,meats,2 EGGS,5/30/2019,Dinner,0,0,32,21,379,1,51
Banquet - Chicken Fried Steak,meats,283 g,5/30/2019,Dinner,4,930,17,12,360,41,51
gala apples - Apple,fruits,154 g,5/30/2019,Snacks,16,0,0,0,80,22,51
Generic - Carrots,vegetables,6 ounces,5/30/2019,Snacks,10,130,0,2,70,16,51
Celestial Seasonings - Honey Lemon Ginseng Green Tea,juice,2 tea bag,5/30/2019,Snacks,0,0,0,0,0,0,51
Immune - Emergen -C Immune,juice,1 Packet,5/30/2019,Snacks,4,60,0,0,20,5,51
Big chewy - Granola Bar,dessert,1 bar,5/30/2019,Snacks,13,120,6,2,180,30,51
English muffin - English Muffin,dessert,1 muffin,5/31/2019,Breakfast,1,200,1,4,120,25,85
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,5/31/2019,Breakfast,3,150,16,7,190,6,85
Generic - Carrots,vegetables,6 ounces,5/31/2019,Breakfast,10,130,0,2,70,16,85
Nature Valley - Crunchy Granola Bar (Peanut Butter),dessert,2 bars,5/31/2019,Breakfast,11,180,8,4,190,27,85
M & Ms - Peanut Butter,fats&seasoning,3 oz (28g),5/31/2019,Breakfast,42,180,24,9,420,48,85
Celestial Seasonings - Honey Lemon Ginseng Green Tea,juice,2 tea bag,5/31/2019,Breakfast,0,0,0,0,0,0,85
Honey,dessert,1 tsp,5/31/2019,Breakfast,6,0,0,0,21,6,85
Nectarine - Nectarine,fruits,100 gr,5/31/2019,Breakfast,11,0,0,1,60,14,85
Clif - Builder's Chocolate Peanut Butter,dessert,1 bar,5/31/2019,Lunch,21,330,10,20,280,29,85
Megan Made - Gumbalaya,meats,1 pot,5/31/2019,Dinner,27,1497,51,34,958,81,85
Sodexo Campus - Shrimp Po Boy,grains,1 Sandwich,5/31/2019,Dinner,8,1670,22,20,660,96,85
Generic - Pizza,grains,6 Slice,5/31/2019,Dinner,23,3840,60,72,1710,216,85
Hood - Ice Cream Sandwich,grains,3 Sandwich,5/31/2019,Snacks,42,420,18,6,510,84,85
Zevia - tea (hibiscus tea passionfruit flavored),juice,1 can,5/31/2019,Snacks,0,0,0,0,0,0,85
Homemade - Strawberry and Nutella Crepes,dessert,1 crepe,6/1/2019,Breakfast,0,243,14,9,346,47,68
Summer Vegetable Crepes - Veggie Crepes,dessert,1 cup,6/1/2019,Breakfast,0,687,17,15,302,25,68
Crepe N Tearia - Banana,fruits,"Peanut Butter and Caramel, 1 crepe",6/1/2019,Breakfast,0,0,0,0,315,0,68
Montana - Wild Huckleberry Jam,dessert,3 Tbsp,6/1/2019,Breakfast,24,0,0,0,150,30,68
harpers Homemade - Bread,grains,2 piece,6/1/2019,Breakfast,4,480,0,8,180,40,68
cookies smores - cookies,dessert,2 cookie,6/1/2019,Lunch,0,0,22,4,560,86,68
Bakery - Chocolate Chip Cookie,dessert,2 cookie,6/1/2019,Lunch,14,200,10,2,240,34,68
Chipotle - Burrito,grains,1 burrito,6/1/2019,Lunch,7,1855,39,60,1000,104,68
Aladdin - Roasted Chicken Breast,meats,1 Each,6/1/2019,Dinner,0,182,4,26,147,0,68
Pineapple slices - Slices,fruits,4 slices,6/1/2019,Dinner,28,20,0,0,120,30,68
Mini Peppers - Bell Peppers,vegetables,3 peppers,6/1/2019,Dinner,3,0,0,1,25,5,68
Rice,grains,0.75 cup cooked,6/1/2019,Dinner,0,0,0,3,150,35,68
Annie's Organic Gummy Bunnies - Gummy Bunnies,dessert,10 pouch,6/1/2019,Snacks,100,450,0,0,700,180,68
Shredded hash browns - Shredded Hash Browns,dessert,2 cup,6/2/2019,Breakfast,0,0,0,2,140,32,0
Starbucks - Sausage Egg and Cheese,meats,1 sandwich,6/2/2019,Breakfast,3,920,28,19,500,41,0
Subway - Choclate Chip Cookie,dessert,135 g,6/2/2019,Breakfast,54,390,30,6,660,90,0
Annie's Organic Gummy Bunnies - Gummy Bunnies,dessert,5 pouch,6/2/2019,Breakfast,50,225,0,0,350,90,0
Honey Stinger - Gluten Free Organic Salted Caramel Waffle,dessert,30 grams,6/2/2019,Snacks,10,150,6,1,140,21,0
Hammer Gel - Chocolate,dessert,1 packet,6/2/2019,Snacks,3,35,0,0,90,21,0
English muffin - English Muffin,dessert,2 muffin,6/3/2019,Breakfast,2,400,2,8,240,50,119
Smucker's - Pure Strawberry Jelly,dessert,4 tbsp (15ml),6/3/2019,Breakfast,48,0,0,0,200,52,119
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,6/3/2019,Breakfast,3,150,16,7,190,6,119
Sodexo Campus - Cinnamon Roll,dessert,1 Roll,6/3/2019,Breakfast,9,420,10,5,240,33,119
Outtakes - French Fries,fats&seasoning,0.5 cup,6/3/2019,Lunch,0,304,11,2,197,23,119
Energy Kitchen - Bison Burger,grains,1 burger with bun,6/3/2019,Lunch,0,322,17,33,413,31,119
Chicken Strip - Chicken,meats,12 oz,6/3/2019,Dinner,0,1800,24,39,570,54,119
Zucchini,vegetables,"1 cup, sliced",6/3/2019,Dinner,3,9,0,1,19,4,119
Mini Peppers - Bell Peppers,vegetables,3 peppers,6/3/2019,Dinner,3,0,0,1,25,5,119
Good to Go Chili - Chili,meats,1 package,6/3/2019,Dinner,26,720,10,32,680,126,119
Arctic Circle - Huckleberry Shake,dessert,12 ounce,6/3/2019,Snacks,55,210,12,10,417,67,119
Thomas - English Muffin With Peanut Butter & Banana,dessert,0.75 english muffin,6/3/2019,Snacks,17,263,13,10,323,47,119
Clif - Builder's Chocolate Peanut Butter,dessert,1 bar,6/4/2019,Breakfast,21,330,10,20,280,29,102
Cheeseburger - Homemade,grains,0.38 Pound,6/4/2019,Lunch,0,113,33,56,840,47,102
Outtakes - French Fries,fats&seasoning,0.5 cup,6/4/2019,Lunch,0,304,11,2,197,23,102
A&W Rootbeer - 20oz Bottle,juice,20 oz bottld,6/4/2019,Lunch,75,135,0,0,290,78,102
Breyers - Chocolate Ice Cream,dessert,1/2 cup 66g,6/4/2019,Lunch,16,45,7,2,140,17,102
Outtakes - Chicken Garden Salad,meats,2 each,6/4/2019,Dinner,15,931,12,76,513,25,102
Generic - Carrots,vegetables,3 ounces,6/4/2019,Dinner,5,65,0,1,35,8,102
Cauliflower,vegetables,"1 cup, chopped",6/4/2019,Dinner,2,32,0,2,27,5,102
Brocoli - Steamed,vegetables,1/8 bag,6/4/2019,Dinner,0,0,0,1,10,0,102
Bakery - Chocolate Chip Cookie,dessert,1 cookie,6/4/2019,Snacks,7,100,5,1,120,17,102
Braum's - Brownie Fudge Sundae,dessert,1 cup,6/4/2019,Snacks,36,120,14,6,300,40,102
Hershey's - Milk Chocolate With Almonds - King Size,dessert,3 bar (73g),6/4/2019,Snacks,105,150,75,21,1140,117,102
Egg - Egg,meats,2 large,6/5/2019,Breakfast,0,142,10,13,143,1,119
Bread - Rye,grains,1 oz,6/5/2019,Breakfast,0,187,1,2,73,14,119
Hormel - HORMEL Canadian Style Bacon,meats,1 serving,6/5/2019,Breakfast,1,569,3,9,68,1,119
Celestial Seasonings - Honey Lemon Ginseng Green Tea,juice,1 tea bag,6/5/2019,Breakfast,0,0,0,0,0,0,119
Supermarket - Banana,fruits,1 banana,6/5/2019,Breakfast,0,1,0,0,105,27,119
Simply steam - Corn,vegetables,95 g,6/5/2019,Dinner,6,190,3,2,80,13,119
Green Giant - Simply Steam Cut Broccoli with Cheese Sauce,vegetables,125 gram,6/5/2019,Dinner,3,390,3,3,70,9,119
Saputo - Milk 2 Go 1% Milk,juice,250 g,6/5/2019,Dinner,12,120,3,9,110,12,119
Parkhurst - Chicken Breast,meats,6 Oz,6/5/2019,Dinner,0,110,3,39,188,0,119
Rigatoni - Rigatoni,grains,0.5 cups,6/5/2019,Dinner,1,0,2,4,120,21,119
Generic - Carrots,vegetables,3 ounces,6/5/2019,Dinner,5,65,0,1,35,8,119
Clif - Builder's Chocolate Peanut Butter,dessert,1 bar,6/5/2019,Snacks,21,330,10,20,280,29,119
Nuts.com - Almonds,fats&seasoning,1.1 oz,6/5/2019,Snacks,1,0,15,7,170,5,119
Outtakes - Granola,fats&seasoning,1 cup,6/5/2019,Snacks,31,8,16,13,420,67,119
Bakery - Chocolate Chip Cookie,dessert,1 cookie,6/5/2019,Snacks,7,100,5,1,120,17,119
Leclerc - Milk Chocolate Celebration Butter Cookies,dessert,10 Cookies,6/5/2019,Snacks,55,325,35,10,800,105,119
Leclerc - Milk Chocolate Celebration Butter Cookies,dessert,14 Cookies,6/5/2019,Snacks,77,455,49,14,1120,147,119
Ben and Jerry's - the Tonight Dough,dessert,1 cup (107g),6/5/2019,Snacks,52,200,32,10,620,70,119
Starbucks - Cranberry Orange Muffin,dessert,1 muffin,6/6/2019,Breakfast,31,400,20,5,410,53,51
Chobani - Greek Nonfat Plain Yogurt,dessert,2 cup (227g),6/6/2019,Breakfast,12,170,0,44,240,18,51
Outtakes - Granola,fats&seasoning,1 cup,6/6/2019,Breakfast,31,8,16,13,420,67,51
Thomas - English Muffin With Peanut Butter & Banana,dessert,1 english muffin,6/6/2019,Breakfast,23,350,17,13,430,62,51
Hammer Gel - Chocolate,dessert,1 packet,6/6/2019,Lunch,3,35,0,0,90,21,51
gala apples - Apple,fruits,154 g,6/6/2019,Lunch,16,0,0,0,80,22,51
Supermarket - Banana,fruits,1 banana,6/6/2019,Lunch,0,1,0,0,105,27,51
Parkhurst - Chicken Breast,meats,3 Oz,6/6/2019,Dinner,0,55,2,20,94,0,51
Rigatoni - Rigatoni,grains,1 cups,6/6/2019,Dinner,1,0,4,8,240,42,51
Pesto - Pesto Sauce,fats&seasoning,2 tbs,6/6/2019,Dinner,0,210,15,5,160,2,51
Oikos - Strawberry,fruits,99.9 g,6/6/2019,Snacks,12,33,0,8,80,13,51
Generic - Carrots,vegetables,3 ounces,6/6/2019,Snacks,5,65,0,1,35,8,51
ranch dressing - Dressing,dessert,2 tbsp,6/6/2019,Snacks,1,260,14,1,140,2,51
Starbucks - Turkey Pesto Sandwich,grains,1 sandwhich,6/7/2019,Breakfast,2,1190,21,34,490,42,17
Celestial Seasonings - Honey Lemon Ginseng Green Tea,juice,2 tea bag,6/7/2019,Breakfast,0,0,0,0,0,0,17
Qdoba - Brownie,dessert,1 brownie,6/7/2019,Breakfast,35,210,16,4,360,52,17
Bakery - Chocolate Chip Cookie,dessert,1 cookie,6/7/2019,Lunch,7,100,5,1,120,17,17
Rigatoni - Rigatoni,grains,2 cups,6/7/2019,Dinner,2,0,8,16,480,84,17
Pesto - Pesto Sauce,fats&seasoning,3 tbs,6/7/2019,Dinner,0,315,23,8,240,2,17
Celestial Seasonings - Honey Lemon Ginseng Green Tea,juice,2 tea bag,6/7/2019,Dinner,0,0,0,0,0,0,17
Honey,dessert,2 tsp,6/7/2019,Dinner,11,1,0,0,43,12,17
Target - Chicken Pesto Sandwich,grains,1 sandwich,6/8/2019,Breakfast,2,1190,23,29,490,38,51
Hannaford - Non fat strawberry yogurt,dessert,1 cup,6/8/2019,Breakfast,16,300,0,13,140,22,51
Thomas - English Muffin With Peanut Butter & Banana,dessert,1 english muffin,6/8/2019,Breakfast,23,350,17,13,430,62,51
chomps original snack stick - grass fed beef stick,dessert,1 stick,6/8/2019,Lunch,0,290,6,9,100,0,51
gala apples - Apple,fruits,154 g,6/8/2019,Lunch,16,0,0,0,80,22,51
Nature Valley - Crunchy Granola Bar (Peanut Butter),dessert,2 bars,6/8/2019,Lunch,11,180,8,4,190,27,51
Icon Meals - Brisket Quesadillas,grains,292 g,6/8/2019,Dinner,2,770,20,36,460,26,51
Fudruckers - Elk Burger,grains,1/2 lb burger,6/8/2019,Dinner,7,983,6,52,515,43,51
Outtakes - French Fries,fats&seasoning,0.5 cup,6/8/2019,Dinner,0,304,11,2,197,23,51
Starbucks - Double Chocolate Chunk Cookie,dessert,1 cookie,6/8/2019,Dinner,37,350,21,5,430,58,51
Starbucks - Double Chocolate Chunk Cookie,dessert,1 cookie,6/8/2019,Snacks,37,350,21,5,430,58,51
Starbucks - Turkey Pesto Sandwich,grains,0.5 sandwhich,6/9/2019,Breakfast,1,595,11,17,245,21,68
Juice - Apple Juice,juice,8 oz,6/9/2019,Breakfast,28,35,0,1,110,28,68
Bumblebee -  Tuna Salad With Crackers,dessert,1 kit,6/9/2019,Lunch,5,435,22,8,300,18,68
Muscle Mix - Chocolate protein shake,dessert,414 ml,6/9/2019,Dinner,0,300,5,25,180,9,68
Aladdin - Pesto Chicken Breast,meats,4 Each,6/9/2019,Dinner,0,360,18,130,720,0,68
Simply steam - Corn,vegetables,95 g,6/9/2019,Dinner,6,190,3,2,80,13,68
Rigatoni - Rigatoni,grains,4 cups,6/9/2019,Dinner,4,0,16,32,960,168,68
Nature Valley - Crunchy Granola Bars - Roasted Almond,dessert,2 bars (42g),6/9/2019,Snacks,12,170,9,4,210,30,68
Dairyland - Stirred Yogurt With Active Probiotic,dessert,"Fieldberry, 175 g",6/9/2019,Snacks,24,95,3,6,160,28,68
Pepperridge Farm - Goldfish Baked Snack Crackers (Individual Packs),dessert,1 ounce,6/9/2019,Snacks,0,230,5,3,130,18,68
Nature Valley - Crunchy Granola Bar (Peanut Butter),dessert,2 bars,6/9/2019,Snacks,11,180,8,4,190,27,68
Hershey - Milk Chocolate Bar 43g,dessert,1 bar,6/9/2019,Snacks,24,35,13,3,220,26,68
Thomas - English Muffin With Peanut Butter & Banana,dessert,1 english muffin,6/12/2019,Breakfast,23,350,17,13,430,62,119
